iter	Passed	Remaining
0	3	359
1	10	495
2	15	489
3	18	452
4	22	423
5	26	411
6	29	386
7	31	366
8	34	352
9	37	336
10	39	323
11	44	323
12	47	314
13	50	308
14	52	296
15	55	290
16	57	280
17	59	272
18	62	265
19	64	257
20	66	251
21	68	244
22	71	240
23	73	234
24	76	228
25	78	223
26	81	219
27	83	214
28	86	211
29	88	206
30	90	201
31	92	197
32	94	192
33	97	188
34	100	186
35	102	182
36	104	177
37	106	174
38	108	170
39	111	167
40	113	163
41	115	159
42	117	155
43	118	150
44	120	147
45	123	144
46	126	142
47	128	139
48	131	136
49	132	132
50	135	129
51	137	126
52	139	123
53	141	120
54	143	117
55	145	114
56	148	111
57	150	108
58	152	105
59	154	102
60	156	99
61	158	97
62	160	94
63	163	91
64	165	89
65	167	86
66	170	83
67	172	81
68	174	78
69	176	75
70	178	72
71	180	70
72	182	67
73	184	64
74	186	62
75	188	59
76	190	56
77	192	54
78	193	51
79	195	48
80	197	46
81	198	43
82	200	41
83	202	38
84	204	36
85	206	33
86	209	31
87	211	28
88	213	26
89	215	23
90	217	21
91	219	19
92	221	16
93	223	14
94	225	11
95	228	9
96	229	7
97	232	4
98	234	2
99	236	0
